source,sub_source,label_name,label,record_count,numeric_label_str
fake_job_emscad,job_postings_test,unlabelled,,4899,NaN
fake_job_emscad,job_postings_train,fake,1.0,500,1
fake_job_emscad,job_postings_train,real,0.0,10522,0
indian_job_scam,smolified_fakejob_expanded,fake,1.0,1934,1
indian_job_scam,smolified_fakejob_expanded,real,0.0,1266,0
phishing_email,CEAS_08,legitimate,0.0,17305,0
phishing_email,CEAS_08,phishing,1.0,21795,1
phishing_email,Enron,legitimate,0.0,15791,0
phishing_email,Enron,phishing,1.0,13954,1
phishing_email,Ling,legitimate,0.0,2401,0
phishing_email,Ling,phishing,1.0,458,1
phishing_email,Nazario,phishing,1.0,1564,1
phishing_email,Nigerian_Fraud,phishing,1.0,3317,1
phishing_email,SpamAssasin,legitimate,0.0,4091,0
phishing_email,SpamAssasin,phishing,1.0,1715,1
spam_promotional,email_safety_triage_10k,phishing,1.0,2100,1
spam_promotional,email_safety_triage_10k,prompt_attack,1.0,1763,1
spam_promotional,email_safety_triage_10k,safe,0.0,4843,0
spam_promotional,email_safety_triage_10k,spam,1.0,997,1
spam_promotional,email_safety_triage_10k,suspicious,1.0,295,1
