system,user,assistant
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Selected for Back Office Executive role at Google India. To release your salary account and joining kit, reply with Aadhaar, PAN, Netbanking credentials and OTP.",Classification: Fake. Red Flags: Suspicious request for personal financial information; Urgent hiring pressure; No proper verification process.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Performance Marketing Specialist opening at Vortex Media Labs (Hyderabad). Candidate must have 2-4 yrs experience. Offered salary: 6-12 LPA. Register your application at https://jobs.lever.co/vortexmedialabs.,Classification: Real. Red Flags: None. The posting follows professional standards with an official domain-based portal link.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Teaching assistant position. Part time. Flexible hours. Interested? Fill out our website form and wait for a screening call. No fees required.,"Classification: Real. Red Flags: None. Proper, transparent process with no fees mentioned."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: HR & Recruitment Intern at FinEdge Capital Advisors (Visakhapatnam / Remote). Requirements: Screening resumes on Naukri/LinkedIn, coordinating interview slots. Duration: 3 months. Stipend: INR 10,000 - 14,000 /month. Apply on Internshala or via https://careers.finedgecapital.com.","Classification: Real. Red Flags: None. The criteria for candidates are logical, and the stipend is realistic for an internship."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Hiring for warehouse picker at Myntra. Salary 40,000 per month. Job involves picking packages for 14 hours. Please send 1500 uniform fee via Paytm.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; Exploitative work expectations."
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.",Job Posting: Web designer needed for freelance contract. Duration 6 months. Apply by emailing your portfolio and salary expectations.,Classification: Real. Red Flags: None.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Join Apex Infotech Solutions as a Senior Account Executive (Noida). Key responsibilities include Enterprise sales cycle, solution pitching, contract negotiation, quota attainment. Package: 10-18 LPA + OTE. Official application link: https://apexinfotech.co.in/current-openings.",Classification: Real. Red Flags: None. The job requirements and application portal are standard for this level of role.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Urgently hiring Graphic Designer & Brand Specialist for NovaFin Services India in Mumbai. Role covers Adobe Photoshop, Illustrator, motion graphics, branding guidelines, social creatives. CTC: 4-7 LPA. Please send your updated resume to careers@novafin.in.",Classification: Real. Red Flags: None. The job requirements and application portal are standard for this level of role.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Direct opening: QA Automation Engineer at RazorEdge Labs India (Noida). Tech: RestAssured, CI/CD. Package: 5-10 LPA. Send your profile to recruitment@razoredgelabs.io or apply at https://boards.greenhouse.io/razoredge.",Classification: Real. Red Flags: None. Transparent job terms on recognized platform.
"You are a Fake Job Detection AI trained on Indian job postings from platforms like LinkedIn, Naukri, Internshala, Indeed, and direct applications.","Job Posting: Work from home Back Office Executive. Salary 50,000 per month. Pay ₹499 for mandatory registration & onboarding processing charge to confirm your joining. Contact HR on WhatsApp.","Classification: Fake. Red Flags: Asks for registration fee, security deposit, or any payment; High pressure to initiate via private communication channel."
